Valor ADC,Resistencia Calculada,Temperatura Calculada
2093, 10454.55, 24.00
2093, 10454.55, 24.00
2093, 10454.55, 24.00
2093, 10454.55, 24.00
2093, 10454.55, 24.00
2093, 10454.55, 24.00
2093, 10454.55, 24.00
2093, 10454.55, 24.00
2093, 10454.55, 24.00
2093, 10454.55, 24.00
1899, 8647.54, 28.31
1899, 8647.54, 28.31
1899, 8647.54, 28.31
1899, 8647.54, 28.31
1899, 8647.54, 28.31
1899, 8647.54, 28.31
1820, 8000.00, 30.11
1820, 8000.00, 30.11
1820, 8000.00, 30.11
1820, 8000.00, 30.11
1820, 8000.00, 30.11
1722, 7256.64, 32.40
1722, 7256.64, 32.40
1722, 7256.64, 32.40
1722, 7256.64, 32.40
1722, 7256.64, 32.40
1626, 6585.66, 34.71
1626, 6585.66, 34.71
1626, 6585.66, 34.71
1626, 6585.66, 34.71
1626, 6585.66, 34.71
1626, 6585.66, 34.71
1626, 6585.66, 34.71
1534, 5989.85, 37.00
1534, 5989.85, 37.00
1534, 5989.85, 37.00
1534, 5989.85, 37.00
1460, 5540.80, 38.91
1460, 5540.80, 38.91
1514, 5865.94, 37.51
1514, 5865.94, 37.51
1514, 5865.94, 37.51
1514, 5865.94, 37.51
1514, 5865.94, 37.51
1514, 5865.94, 37.51
1514, 5865.94, 37.51
1514, 5865.94, 37.51
1408, 5240.04, 40.29
1360, 4972.58, 41.60
1324, 4778.06, 42.60
1324, 4778.06, 42.60
1324, 4778.06, 42.60
1279, 4541.90, 43.89
1231, 4298.18, 45.30
1231, 4298.18, 45.30
1231, 4298.18, 45.30
1231, 4298.18, 45.30
1156, 3933.31, 47.59
1140, 3857.87, 48.10
1140, 3857.87, 48.10
1140, 3857.87, 48.10
1140, 3857.87, 48.10
1084, 3600.13, 49.91
1084, 3600.13, 49.91
1084, 3600.13, 49.91
1084, 3600.13, 49.91
1028, 3351.81, 51.81
1028, 3351.81, 51.81
1028, 3351.81, 51.81
1028, 3351.81, 51.81
1028, 3351.81, 51.81
1003, 3243.86, 52.69
953, 3033.10, 54.50
953, 3033.10, 54.50
953, 3033.10, 54.50
953, 3033.10, 54.50
953, 3033.10, 54.50
953, 3033.10, 54.50
903, 2828.95, 56.41
903, 2828.95, 56.41
846, 2603.88, 58.71
825, 2522.94, 59.59
825, 2522.94, 59.59
825, 2522.94, 59.59
825, 2522.94, 59.59
825, 2522.94, 59.59
825, 2522.94, 59.59
753, 2253.14, 62.79
723, 2144.13, 64.21
687, 2015.85, 66.00
687, 2015.85, 66.00
687, 2015.85, 66.00
687, 2015.85, 66.00
687, 2015.85, 66.00
687, 2015.85, 66.00
687, 2015.85, 66.00
687, 2015.85, 66.00
687, 2015.85, 66.00
618, 1777.39, 69.70
618, 1777.39, 69.70
618, 1777.39, 69.70
618, 1777.39, 69.70
618, 1777.39, 69.70
618, 1777.39, 69.70
618, 1777.39, 69.70
587, 1673.32, 71.51
587, 1673.32, 71.51
587, 1673.32, 71.51
587, 1673.32, 71.51
587, 1673.32, 71.51
587, 1673.32, 71.51
542, 1525.47, 74.31
542, 1525.47, 74.31
542, 1525.47, 74.31
542, 1525.47, 74.31
542, 1525.47, 74.31
535, 1502.81, 74.77
495, 1375.00, 77.52
495, 1375.00, 77.52
495, 1375.00, 77.52
495, 1375.00, 77.52
469, 1293.44, 79.43
469, 1293.44, 79.43
469, 1293.44, 79.43
469, 1293.44, 79.43
469, 1293.44, 79.43
469, 1293.44, 79.43
469, 1293.44, 79.43
462, 1271.68, 79.97
462, 1271.68, 79.97
462, 1271.68, 79.97
462, 1271.68, 79.97
462, 1271.68, 79.97
462, 1271.68, 79.97
462, 1271.68, 79.97
464, 1277.88, 79.81
521, 1457.75, 75.71
571, 1620.32, 72.48
677, 1980.69, 66.51
677, 1980.69, 66.51
772, 2323.20, 61.92
858, 2650.60, 58.21
1140, 3857.87, 48.10
2765, 20789.47, 9.39
2765, 20789.47, 9.39
2765, 20789.47, 9.39
2765, 20789.47, 9.39
2765, 20789.47, 9.39
2765, 20789.47, 9.39
2765, 20789.47, 9.39
2765, 20789.47, 9.39
2765, 20789.47, 9.39
2804, 21719.60, 8.51
2826, 22269.50, 8.01
2826, 22269.50, 8.01
2866, 23319.77, 7.09
3021, 28128.49, 3.41
3094, 30909.09, 1.60
3094, 30909.09, 1.60
3094, 30909.09, 1.60
3094, 30909.09, 1.60
3094, 30909.09, 1.60
3094, 30909.09, 1.60
3249, 38404.25, -2.49
3202, 35856.66, -1.21
3202, 35856.66, -1.21
3202, 35856.66, -1.21
3202, 35856.66, -1.21
3202, 35856.66, -1.21
3202, 35856.66, -1.21
3364, 46019.15, -5.80
3364, 46019.15, -5.80
3364, 46019.15, -5.80
3406, 49433.96, -7.09
3406, 49433.96, -7.09
3406, 49433.96, -7.09
3406, 49433.96, -7.09
3492, 57910.45, -9.90
3492, 57910.45, -9.90
3492, 57910.45, -9.90
3543, 64184.78, -11.69
3604, 73401.22, -13.99
3604, 73401.22, -13.99
3604, 73401.22, -13.99
3629, 77875.54, -15.00
3722, 99785.52, -19.11
3722, 99785.52, -19.11
3722, 99785.52, -19.11
3722, 99785.52, -19.11
3639, 79802.63, -15.41
3639, 79802.63, -15.41
3639, 79802.63, -15.41
3639, 79802.63, -15.41
3639, 79802.63, -15.41
3299, 41444.72, -3.90
3183, 34901.32, -0.70
3129, 32391.30, 0.71
3058, 29488.91, 2.50
3058, 29488.91, 2.50
3058, 29488.91, 2.50
2980, 26726.46, 4.40
2980, 26726.46, 4.40
2980, 26726.46, 4.40
2926, 25029.94, 5.69
2765, 20789.47, 9.39
2765, 20789.47, 9.39
2765, 20789.47, 9.39
2492, 15545.85, 15.39
2385, 13947.37, 17.70
2362, 13629.54, 18.19
2362, 13629.54, 18.19
2362, 13629.54, 18.19
2362, 13629.54, 18.19
2362, 13629.54, 18.19